Live,Symbol,Percentage,Initial_Margin,Maintenance,Hedge,Margin_Calculation,Profit_Calculation,Trade,Comment
Live - 1,EURJPYm, , , , , , , ,Symbol ignored: *
Live - 1,EURNZDm, , , , , , , ,Symbol ignored: *
Live - 1,EURUSDm, , , , , , , ,Symbol ignored: *
Live - 1,GBPAUDm, , , , , , , ,Symbol ignored: *
Live - 1,GBPCADm, , , , , , , ,Symbol ignored: *
Live - 1,GBPCHFm, , , , , , , ,Symbol ignored: *
Live - 1,GBPNZDm, , , , , , , ,Symbol ignored: *
Live - 1,GBPJPYm, , , , , , , ,Symbol ignored: *
Live - 1,GBPUSDm, , , , , , , ,Symbol ignored: *
Live - 1,NZDJPYm, , , , , , , ,Symbol ignored: *
Live - 1,NZDUSDm, , , , , , , ,Symbol ignored: *
Live - 1,USDCADm, , , , , , , ,Symbol ignored: *
Live - 1,USDCHFm, , , , , , , ,Symbol ignored: *
Live - 1,USDJPYm, , , , , , , ,Symbol ignored: *
Live - 1,AUDCAD_, , , , , , , ,Symbol ignored: *
Live - 1,AUDCHF_, , , , , , , ,Symbol ignored: *
Live - 1,AUDJPY_, , , , , , , ,Symbol ignored: *
Live - 1,GBPCHF_, , , , , , , ,Symbol ignored: *
Live - 1,NZDCAD_, , , , , , , ,Symbol ignored: *
Live - 1,NZDJPY_, , , , , , , ,Symbol ignored: *
Live - 1,EURGBP_, , , , , , , ,Symbol ignored: *
Live - 1,CADJPY_, , , , , , , ,Symbol ignored: *
Live - 1,NZDCHF_, , , , , , , ,Symbol ignored: *
Live - 1,EURAUD_, , , , , , , ,Symbol ignored: *
Live - 1,EURCAD_, , , , , , , ,Symbol ignored: *
Live - 1,GBPAUD_, , , , , , , ,Symbol ignored: *
Live - 1,GBPCAD_, , , , , , , ,Symbol ignored: *
Live - 1,USDCAD_, , , , , , , ,Symbol ignored: *
Live - 1,GBPUSDr, , , , , , , ,Symbol ignored: *
Live - 1,AUDCADp, , , , , , , ,Symbol ignored: *
Live - 1,AUDCHFp, , , , , , , ,Symbol ignored: *
Live - 1,AUDJPYp, , , , , , , ,Symbol ignored: *
Live - 1,AUDNZDp, , , , , , , ,Symbol ignored: *
Live - 1,CHFJPYp, , , , , , , ,Symbol ignored: *
Live - 1,CADCHFp, , , , , , , ,Symbol ignored: *
Live - 1,CADJPYp, , , , , , , ,Symbol ignored: *
Live - 1,EURCADp, , , , , , , ,Symbol ignored: *
Live - 1,EURCHFp, , , , , , , ,Symbol ignored: *
Live - 1,EURGBPp, , , , , , , ,Symbol ignored: *
Live - 1,EURJPYp, , , , , , , ,Symbol ignored: *
Live - 1,EURNZDp, , , , , , , ,Symbol ignored: *
Live - 1,EURUSDp, , , , , , , ,Symbol ignored: *
Live - 1,GBPAUDp, , , , , , , ,Symbol ignored: *
